Date,MSFT,AMZN,NVDA,META
2026-05-28,426.989990234375,274.0,214.00057983398438,634.7017211914062
2026-05-29,450.239990234375,270.6400146484375,210.8942108154297,631.92431640625
2026-06-01,460.5199890136719,261.260009765625,224.09881591796875,599.9139404296875
2026-06-02,441.30999755859375,256.5199890136719,222.56060791015625,597.0765991210938
2026-06-03,427.3399963378906,250.02000427246094,214.5,622.4031372070312
2026-06-04,428.04998779296875,253.7899932861328,218.66000366210938,626.9888916015625
2026-06-05,416.6700134277344,246.02999877929688,205.10000610351562,592.450927734375
2026-06-08,411.739990234375,245.22000122070312,208.63999938964844,584.8479614257812
2026-06-09,403.4100036621094,244.19000244140625,208.19000244140625,584.0487060546875
2026-06-10,397.3599853515625,238.0,200.4199981689453,570.4512939453125
2026-06-11,390.3399963378906,241.50999450683594,204.8699951171875,567.9036254882812
2026-06-12,390.739990234375,238.5500030517578,205.19000244140625,566.4549560546875
2026-06-15,399.760009765625,246.02000427246094,212.4499969482422,593.47998046875
2026-06-16,393.8299865722656,246.0,207.41000366210938,600.2100219726562
2026-06-17,378.9100036621094,237.5,204.64999389648438,567.5800170898438
2026-06-18,375.5450134277344,238.72000122070312,207.70509338378906,566.2449951171875
